,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_min_child_weight,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,273.942199993,9.39799995422,0.9795625,0.982796877399,2,1,"{'max_depth': 2, 'min_child_weight': 1}",39,0.981880662293,0.98257676381,0.9765625,0.983359375,0.98125,0.983125,0.9809375,0.9825,0.977180368865,0.982423248184,75.7569546901,4.63658267064,0.00222650454524,0.000374233340353
1,153.144999981,27.85,0.98,0.982812497516,2,2,"{'max_depth': 2, 'min_child_weight': 2}",36,0.981568259919,0.982342370498,0.978125,0.983515625,0.9821875,0.9828125,0.9809375,0.982890625,0.977180368865,0.982501367081,28.8737390636,26.9658638778,0.00197927918741,0.000404552524063
2,190.271999979,28.3656000137,0.97975,0.982687503619,2,3,"{'max_depth': 2, 'min_child_weight': 3}",37,0.981880662293,0.982498632706,0.9771875,0.983359375,0.9821875,0.982734375,0.980625,0.982578125,0.976867771178,0.98226701039,73.5798368971,22.2035824913,0.00228557322946,0.000368254949444
3,162.720200014,13.5874000072,0.979625,0.982499995074,2,4,"{'max_depth': 2, 'min_child_weight': 4}",38,0.981568259919,0.982029846082,0.9771875,0.98296875,0.98125,0.98265625,0.980625,0.9825,0.977492966552,0.982345129287,35.716318911,14.1215535519,0.0018922799252,0.000312784356886
4,185.558799982,9.59520001411,0.9793125,0.98250000484,2,5,"{'max_depth': 2, 'min_child_weight': 5}",40,0.982505467042,0.982498632706,0.97625,0.98296875,0.9809375,0.982421875,0.98,0.982421875,0.976867771178,0.982188891493,57.0805045466,5.63148266865,0.00239437855279,0.000256407475065
5,217.025600052,8.91379995346,0.982875,0.987453116424,3,1,"{'max_depth': 3, 'min_child_weight': 1}",34,0.985629490784,0.986952105633,0.9796875,0.98765625,0.9853125,0.98703125,0.9825,0.988125,0.981244138793,0.987500976486,57.2314717426,4.99410763409,0.00230176693444,0.000429875439423
6,235.92159996,8.13199996948,0.9831875,0.987203123748,3,2,"{'max_depth': 3, 'min_child_weight': 2}",32,0.986566697907,0.986952105633,0.98,0.987578125,0.985,0.986640625,0.9821875,0.9878125,0.982181931854,0.987032263104,35.3159045336,2.30606828918,0.00231856467375,0.000429085923901
7,230.933599997,10.1063999653,0.9829375,0.987078113983,3,3,"{'max_depth': 3, 'min_child_weight': 3}",33,0.98531708841,0.986952105633,0.9803125,0.986953125,0.9840625,0.98640625,0.9821875,0.987421875,0.982807127227,0.98765721428,12.8085708774,4.54258140418,0.00169705346183,0.000432765606924
8,195.155599976,12.6748000622,0.9833125,0.98707812741,3,4,"{'max_depth': 3, 'min_child_weight': 4}",31,0.985629490784,0.987186498945,0.98125,0.98703125,0.9846875,0.986875,0.9825,0.987265625,0.98249452954,0.987032263104,31.6582132481,8.27951914147,0.00160272755138,0.000135986401298
9,222.345799971,9.30660004616,0.982875,0.986828129851,3,5,"{'max_depth': 3, 'min_child_weight': 5}",34,0.984692283661,0.986952105633,0.9809375,0.98671875,0.98375,0.98671875,0.9828125,0.987109375,0.982181931854,0.98664166862,59.1830592398,3.63645137074,0.00128896724484,0.000175022583018
10,290.704800034,16.4209999084,0.9840625,0.990390621314,4,1,"{'max_depth': 4, 'min_child_weight': 1}",30,0.986879100281,0.990077349793,0.9803125,0.9909375,0.9859375,0.990234375,0.9834375,0.990390625,0.983744920288,0.990313256777,44.5229174637,8.7470224587,0.002280582892,0.000292442652623
11,269.852400017,7.93479995728,0.984375,0.989999999976,4,2,"{'max_depth': 4, 'min_child_weight': 2}",27,0.98750390503,0.990077349793,0.980625,0.9903125,0.9875,0.989609375,0.983125,0.989921875,0.983119724914,0.990078900086,89.9806497272,7.05575130515,0.00271141860304,0.000231756713076
12,294.944999981,5.3914000988,0.9846875,0.989484366429,4,3,"{'max_depth': 4, 'min_child_weight': 3}",21,0.986879100281,0.989139776545,0.9809375,0.99,0.9865625,0.988984375,0.984375,0.989609375,0.984682713348,0.989688305601,96.9203997858,4.61410854571,0.00212039698734,0.000371975785634
13,318.303599977,7.37360005379,0.9849375,0.989390620091,4,4,"{'max_depth': 4, 'min_child_weight': 4}",16,0.985941893158,0.989217907649,0.9809375,0.989921875,0.9871875,0.988984375,0.985,0.989296875,0.985620506408,0.989532067807,25.8539407558,4.25784676305,0.00212329362508,0.000318085535167
14,301.050200033,3.68380002975,0.984125,0.989078122532,4,5,"{'max_depth': 4, 'min_child_weight': 5}",29,0.985004686036,0.989061645441,0.9796875,0.98953125,0.9865625,0.98875,0.9846875,0.988828125,0.984682713348,0.989219592219,19.9805221786,1.89556481476,0.00232526364422,0.000281344213104
15,352.187800074,4.79399995804,0.9845625,0.992468741436,5,1,"{'max_depth': 5, 'min_child_weight': 1}",25,0.988128709778,0.991952496289,0.9809375,0.99265625,0.9865625,0.9925,0.98375,0.992734375,0.983432322601,0.992500585892,16.4000118721,2.77492104155,0.00252188459522,0.000273576633182
16,358.808599997,3.96420001984,0.9851875,0.991828126201,5,2,"{'max_depth': 5, 'min_child_weight': 2}",7,0.98750390503,0.991952496289,0.981875,0.991953125,0.986875,0.99140625,0.9853125,0.991953125,0.984370115661,0.991875634716,22.7785629905,1.62048243826,0.00199355235314,0.000213051123539
17,362.733200026,2.47979998589,0.985375,0.991281238992,5,3,"{'max_depth': 5, 'min_child_weight': 3}",5,0.986566697907,0.990780529729,0.98125,0.991640625,0.988125,0.9909375,0.98625,0.9915625,0.984682713348,0.991485040231,11.4638124073,0.629196081079,0.0023342428638,0.000351757661827
18,354.089199972,4.76459994316,0.985,0.990687491432,5,4,"{'max_depth': 5, 'min_child_weight': 4}",14,0.986254295533,0.990389874209,0.98125,0.990703125,0.9865625,0.990546875,0.9859375,0.990859375,0.984995311035,0.990938207953,4.53717576927,1.5235295048,0.00194713037086,0.000200497449097
19,337.167000008,2.00760006905,0.9848125,0.990078118872,5,5,"{'max_depth': 5, 'min_child_weight': 5}",18,0.985941893158,0.989842956481,0.98125,0.9903125,0.9865625,0.989765625,0.98625,0.990234375,0.984057517974,0.99023513788,14.3125957001,0.448461532857,0.00198323270161,0.000226697697261
20,424.11500001,2.55580000877,0.9854375,0.993765622543,6,1,"{'max_depth': 6, 'min_child_weight': 1}",3,0.987816307404,0.993436987265,0.981875,0.993671875,0.9871875,0.9940625,0.9853125,0.9940625,0.984995311035,0.993594250449,3.49521597033,0.738262119789,0.00207968719975,0.000253941170942
