,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__C,param_clf__gamma,param_clf__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
74,92.423,5.515199995,0.9042,0.999516667,1,8,rbf,"{'clf__gamma': 8.0, 'clf__C': 1.0, 'clf__kernel': 'rbf'}",99,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904666667,0.999583333,0.903333333,0.999583333,0.547073342,0.049740934,0.000618241,6.24E-05
75,97.23780012,5.547199965,0.904133333,0.999516667,1,16,rbf,"{'clf__gamma': 16.0, 'clf__C': 1.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,0.450473229,0.055325983,0.000581187,6.24E-05
76,94.9704,5.555399942,0.904133333,0.999516667,1,32,rbf,"{'clf__gamma': 32.0, 'clf__C': 1.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,0.618221515,0.062355774,0.000581187,6.24E-05
77,5.164199972,0.775799942,0.974866667,0.978133333,2,0.03125,rbf,"{'clf__gamma': 0.03125, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",52,0.969333333,0.979666667,0.978,0.976916667,0.976,0.978,0.974333333,0.977666667,0.976666667,0.978416667,0.086728058,0.008352174,0.003008137,0.000910738
78,4.376999998,0.676999998,0.982333333,0.986566667,2,0.0625,rbf,"{'clf__gamma': 0.0625, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",39,0.976666667,0.988166667,0.985333333,0.986416667,0.982666667,0.986083333,0.982333333,0.985916667,0.984666667,0.98625,0.029637821,0.013841995,0.00305505,0.000817177
79,3.965199947,0.599000025,0.986066667,0.990583333,2,0.125,rbf,"{'clf__gamma': 0.125, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",33,0.980333333,0.991833333,0.988333333,0.990166667,0.986666667,0.99025,0.986666667,0.990416667,0.988333333,0.99025,0.070838946,0.026495335,0.002961981,0.000630256
80,3.794800043,0.602199936,0.987733333,0.9943,2,0.25,rbf,"{'clf__gamma': 0.25, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",18,0.982666667,0.994833333,0.991,0.994166667,0.987333333,0.994333333,0.988,0.9945,0.989666667,0.993666667,0.038948198,0.015236742,0.002839405,0.000385861
81,4.499599934,0.713800001,0.988133333,0.99765,2,0.5,rbf,"{'clf__gamma': 0.5, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",9,0.983666667,0.997833333,0.991,0.997833333,0.988666667,0.997416667,0.987666667,0.997583333,0.989666667,0.997583333,0.100492014,0.032859687,0.002490872,0.000161589
82,7.087799978,1.036800051,0.987,0.999216667,2,1,rbf,"{'clf__gamma': 1.0, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",21,0.982,0.999166667,0.99,0.999083333,0.987333333,0.999166667,0.986333333,0.999333333,0.989333333,0.999333333,0.204865276,0.034545009,0.002828427,0.0001
83,37.74219995,2.442200041,0.976333333,0.999516667,2,2,rbf,"{'clf__gamma': 2.0, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",45,0.970666667,0.9995,0.979333333,0.999416667,0.977,0.9995,0.975333333,0.999583333,0.979333333,0.999583333,0.622425,0.153233701,0.003211092,6.24E-05
84,102.3778,5.479199982,0.918066667,0.999516667,2,4,rbf,"{'clf__gamma': 4.0, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",75,0.918,0.9995,0.917666667,0.999416667,0.916666667,0.9995,0.919,0.999583333,0.919,0.999583333,1.238760534,0.123089275,0.000879394,6.24E-05
85,137.8523999,5.465400028,0.904733333,0.999516667,2,8,rbf,"{'clf__gamma': 8.0, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",89,0.905333333,0.9995,0.905666667,0.999416667,0.904,0.9995,0.905333333,0.999583333,0.903333333,0.999583333,1.685982033,0.116052695,0.000904311,6.24E-05
86,149.3868,5.540400028,0.904266667,0.999516667,2,16,rbf,"{'clf__gamma': 16.0, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",94,0.904333333,0.9995,0.905333333,0.999416667,0.903666667,0.9995,0.904666667,0.999583333,0.903333333,0.999583333,3.896200784,0.08583609,0.000711805,6.24E-05
87,152.9528,5.429199982,0.904133333,0.999516667,2,32,rbf,"{'clf__gamma': 32.0, 'clf__C': 2.0, 'clf__kernel': 'rbf'}",100,0.904333333,0.9995,0.905,0.999416667,0.903666667,0.9995,0.904333333,0.999583333,0.903333333,0.999583333,3.851013921,0.078817141,0.000581187,6.24E-05
88,4.365599966,0.650199986,0.9826,0.98685,4,0.03125,rbf,"{'clf__gamma': 0.03125, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",38,0.976333333,0.988583333,0.986,0.9865,0.983333333,0.986666667,0.982333333,0.986166667,0.985,0.986333333,0.083286434,0.02240001,0.003382307,0.000882547
89,3.936400032,0.567199945,0.9864,0.99065,4,0.0625,rbf,"{'clf__gamma': 0.0625, 'clf__C': 4.0, 'clf__kernel': 'rbf'}",31,0.980666667,0.99175,0.988666667,0.99025,0.987,0.99025,0.987,0.9905,0.988666667,0.9905,0.047743499,0.017679377,0.002961981,0.000561249
